compound_id	compound_name	compound_unii
289	PICOLINIC ACID	QZV2W997JQ
291	ACETANILIDE	SP86R356CC
297	ALTINICLINE	RJ9V9V09VM
302	BETIATIDE	9NV2SR34P8
303	DIMENHYDRINATE	JB937PER5C
306	CHLOROXYLENOL	0F32U78V2Q
307	DDT	CIW5S16655
308	CLOFLUCARBAN	I5ZZY3DC5G
309	CLOXYQUIN	BPF36H1G6S
310	DANTHRON	Z4XE6IBF3V
311	DEHYDROCHOLIC ACID	NH5000009I
313	DIBENZOTHIOPHENE	Z3D4AJ1R48
314	DICHLOROPHEN	T1J0JOU64O
318	DIPERODON ANHYDROUS	UIN4PYP84R
320	ENSULIZOLE	9YQ9DI1W42
324	FENBENDAZOLE	621BVT9M36
326	HOMOSALATE	V06SV4M95S
329	KANAMYCIN A	EQK9Q303C5
331	PROPYLHEXEDRINE	LQU92IU8LL
332	CALCIUM MANDELATE	29CS07FZII
333	MARBOFLOXACIN	8X09WU898T
334	MEBROFENIN	7PV0B6ED98
335	MEDRONIC ACID	73OS0QIN3O
337	OCTISALATE	4X49Y0596W
338	ORMETOPRIM	M3EFS94984
339	PADIMATE O	Z11006CMUZ
340	PANTHENOL	WV9CM0O67Z
341	PARETHOXYCAINE	68E52E5J67
342	PENTOXYVERINE	32C726X12W
344	PIPEROCAINE	F66XUI6GZL
346	PROPYLPARABEN	Z8IX2SC1OH
347	SALICYL ALCOHOL	FA1N0842KB
348	SALICYLAMIDE	EM8BM710ZC
354	SULFADIMETHOXINE SODIUM	49DG2B481W
359	TRIACETIN	XHX3C3X673
360	TRIBROMSALAN	6MCE3VTF0O
361	TRICLOCARBAN	BGG1Y1ED0Y
363	TROLAMINE	9O3K93S3TK
368	FOSVESET	5WBR90FN3H
371	MERBROMIN CATION	58L0ARN50R
377	CEFPIROME	S72Q2F09HY
380	TIPEPIDINE	2260ZP67IT
388	METHYLATROPINIUM	80719I460H
389	ORBIFLOXACIN	660932TPY6
390	ACECLOFENAC	RPK779R03H
391	ACEMETACIN	5V141XK28X
393	ACTARIT	HW5B6351RZ
395	ANETHOLTRITHION	QUY32964DJ
399	AZELNIDIPINE	PV23P19YUG
402	BENFOTIAMINE	Y92OUS2H9B
403	BENPERIDOL	97O6X78C53
404	BENZBROMARONE	4POG0RL69O
405	BIAPENEM	YR5U3L9ZH1
406	BROMPERIDOL	LYH6F7I22E
407	BROTIZOLAM	5XZM1R3DKF
408	BUCILLAMINE	R80LRA5WTF
410	CADRALAZINE	8T96I3U713
415	CEFTERAM	74CQ4Q3N63
416	CHLORMADINONE	SDS4N642GG
417	CIFENLINE	Z7489237QT
418	CLINOFIBRATE	0374EZJ8CU
